時間,設備,值
2024-10-19 14:31:52,SA-23/TEMPERATURE,28.92
2024-10-19 14:31:58,SA-23/TEMPERATURE,29.39
2024-10-19 14:32:00,SA-23/TEMPERATURE,28.92
2024-10-19 14:32:08,SA-23/TEMPERATURE,29.85
2024-10-19 14:32:10,SA-23/TEMPERATURE,28.92
2024-10-19 14:32:14,SA-23/TEMPERATURE,29.39
2024-10-19 14:32:16,SA-23/TEMPERATURE,28.92
2024-10-19 14:32:26,SA-23/TEMPERATURE,29.39
2024-10-19 14:32:28,SA-23/TEMPERATURE,28.92
2024-10-19 14:32:38,SA-23/TEMPERATURE,29.39
2024-10-19 14:32:40,SA-23/TEMPERATURE,28.92
2024-10-19 14:33:00,SA-23/TEMPERATURE,29.39
2024-10-19 14:33:02,SA-23/TEMPERATURE,28.92
2024-10-19 14:33:04,SA-23/TEMPERATURE,29.39
2024-10-19 14:33:06,SA-23/TEMPERATURE,28.92
2024-10-19 14:33:12,SA-23/TEMPERATURE,29.39
2024-10-19 14:33:14,SA-23/TEMPERATURE,28.92
2024-10-19 14:33:16,SA-23/TEMPERATURE,29.85
2024-10-19 14:33:18,SA-23/TEMPERATURE,28.92
2024-10-19 14:33:26,SA-23/TEMPERATURE,29.39
2024-10-19 14:33:28,SA-23/TEMPERATURE,28.92
2024-10-19 14:33:30,SA-23/TEMPERATURE,29.39
2024-10-19 14:33:32,SA-23/TEMPERATURE,28.92
2024-10-19 14:33:40,SA-23/TEMPERATURE,29.39
2024-10-19 14:33:42,SA-23/TEMPERATURE,28.92
2024-10-19 14:33:46,SA-23/TEMPERATURE,29.39
2024-10-19 14:33:48,SA-23/TEMPERATURE,28.92
2024-10-19 14:33:50,SA-23/TEMPERATURE,29.85
2024-10-19 14:33:52,SA-23/TEMPERATURE,28.92
2024-10-19 14:34:00,SA-23/TEMPERATURE,29.39
2024-10-19 14:34:02,SA-23/TEMPERATURE,28.92
2024-10-19 14:34:04,SA-23/TEMPERATURE,29.39
2024-10-19 14:34:08,SA-23/TEMPERATURE,28.92
2024-10-19 14:34:10,SA-23/TEMPERATURE,29.39
2024-10-19 14:34:12,SA-23/TEMPERATURE,28.92
2024-10-19 14:34:16,SA-23/TEMPERATURE,29.39
2024-10-19 14:34:18,SA-23/TEMPERATURE,28.92
2024-10-19 14:34:52,SA-23/TEMPERATURE,29.85
2024-10-19 14:34:54,SA-23/TEMPERATURE,28.92
2024-10-19 14:34:56,SA-23/TEMPERATURE,29.39
2024-10-19 14:34:58,SA-23/TEMPERATURE,28.92
2024-10-19 14:35:26,SA-23/TEMPERATURE,29.39
2024-10-19 14:35:28,SA-23/TEMPERATURE,28.92
2024-10-19 14:35:52,SA-23/TEMPERATURE,29.39
2024-10-19 14:35:54,SA-23/TEMPERATURE,28.92
2024-10-19 14:36:36,SA-23/TEMPERATURE,28.45
2024-10-19 14:36:38,SA-23/TEMPERATURE,28.92
2024-10-19 14:37:14,SA-23/TEMPERATURE,28.45
2024-10-19 14:37:16,SA-23/TEMPERATURE,28.92
2024-10-19 14:37:18,SA-23/TEMPERATURE,28.45
2024-10-19 14:37:20,SA-23/TEMPERATURE,28.92
2024-10-19 14:37:40,SA-23/TEMPERATURE,28.45
2024-10-19 14:37:42,SA-23/TEMPERATURE,28.92
2024-10-19 14:38:14,SA-23/TEMPERATURE,28.45
2024-10-19 14:38:16,SA-23/TEMPERATURE,28.92
2024-10-19 14:40:48,SA-23/TEMPERATURE,28.45
2024-10-19 14:40:52,SA-23/TEMPERATURE,28.92
2024-10-19 14:40:56,SA-23/TEMPERATURE,28.45
2024-10-19 14:41:00,SA-23/TEMPERATURE,28.92
2024-10-19 14:41:02,SA-23/TEMPERATURE,28.45
2024-10-19 14:41:08,SA-23/TEMPERATURE,28.92
2024-10-19 14:41:12,SA-23/TEMPERATURE,28.45
2024-10-19 14:41:14,SA-23/TEMPERATURE,28.92
2024-10-19 14:41:30,SA-23/TEMPERATURE,28.45
2024-10-19 14:41:32,SA-23/TEMPERATURE,28.92
2024-10-19 14:42:12,SA-23/TEMPERATURE,28.45
2024-10-19 14:42:14,SA-23/TEMPERATURE,28.92
2024-10-19 14:43:18,SA-23/TEMPERATURE,29.39
2024-10-19 14:43:20,SA-23/TEMPERATURE,28.92
2024-10-19 14:43:22,SA-23/TEMPERATURE,29.39
2024-10-19 14:43:24,SA-23/TEMPERATURE,28.92
2024-10-19 14:43:56,SA-23/TEMPERATURE,29.39
2024-10-19 14:43:58,SA-23/TEMPERATURE,28.92
2024-10-19 14:44:20,SA-23/TEMPERATURE,29.39
2024-10-19 14:44:26,SA-23/TEMPERATURE,28.92
2024-10-19 14:44:34,SA-23/TEMPERATURE,29.39
2024-10-19 14:44:36,SA-23/TEMPERATURE,28.92
2024-10-19 14:44:46,SA-23/TEMPERATURE,29.39
2024-10-19 14:44:48,SA-23/TEMPERATURE,28.92
2024-10-19 14:45:14,SA-23/TEMPERATURE,29.39
2024-10-19 14:45:16,SA-23/TEMPERATURE,28.92
2024-10-19 14:45:44,SA-23/TEMPERATURE,29.39
2024-10-19 14:45:46,SA-23/TEMPERATURE,28.92
2024-10-19 14:45:52,SA-23/TEMPERATURE,29.39
2024-10-19 14:45:56,SA-23/TEMPERATURE,28.92
2024-10-19 14:46:20,SA-23/TEMPERATURE,29.39
2024-10-19 14:46:22,SA-23/TEMPERATURE,28.92
2024-10-19 14:47:10,SA-23/TEMPERATURE,29.85
2024-10-19 14:47:12,SA-23/TEMPERATURE,28.92
2024-10-19 14:47:22,SA-23/TEMPERATURE,29.85
2024-10-19 14:47:24,SA-23/TEMPERATURE,28.92
2024-10-19 14:47:40,SA-23/TEMPERATURE,29.39
2024-10-19 14:47:42,SA-23/TEMPERATURE,28.92
2024-10-19 14:48:00,SA-23/TEMPERATURE,29.85
2024-10-19 14:48:02,SA-23/TEMPERATURE,28.92
2024-10-19 14:48:32,SA-23/TEMPERATURE,29.39
2024-10-19 14:48:34,SA-23/TEMPERATURE,28.92
2024-10-19 14:48:36,SA-23/TEMPERATURE,29.85
2024-10-19 14:48:38,SA-23/TEMPERATURE,28.92
